A-D,E-K,L-O,P-Z
CURRENT GENOMICS,JOURNAL OF CELL BIOLOGY,,
CURRENT HEMATOLOGIC MALIGNANCY REPORTS,JOURNAL OF CELL COMMUNICATION AND SIGNALING,,
CURRENT HERPETOLOGY,JOURNAL OF CELL SCIENCE,,
CURRENT HIV/AIDS REPORTS,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,,
CURRENT HIV RESEARCH,JOURNAL OF CELLULAR AUTOMATA,,
CURRENT HYPERTENSION REPORTS,JOURNAL OF CELLULAR BIOCHEMISTRY,,
CURRENT INFECTIOUS DISEASE REPORTS,JOURNAL OF CELLULAR PHYSIOLOGY,,
CURRENT ISSUES IN MOLECULAR BIOLOGY,JOURNAL OF CELLULAR PLASTICS,,
CURRENT MEDICAL IMAGING,JOURNAL OF CENTRAL SOUTH UNIVERSITY,,
CURRENT MEDICAL RESEARCH AND OPINION,JOURNAL OF CERAMIC PROCESSING RESEARCH,,
CURRENT MEDICAL SCIENCE,JOURNAL OF CERAMIC SCIENCE AND TECHNOLOGY,,
CURRENT MEDICINAL CHEMISTRY,JOURNAL OF CEREAL SCIENCE,,
CURRENT MICROBIOLOGY,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,,
CURRENT MOLECULAR MEDICINE,JOURNAL OF CHEMICAL AND ENGINEERING DATA,,
CURRENT MOLECULAR PHARMACOLOGY,JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,,
CURRENT NANOSCIENCE,JOURNAL OF CHEMICAL ECOLOGY,,
CURRENT NEUROLOGY AND NEUROSCIENCE REPORTS,JOURNAL OF CHEMICAL EDUCATION,,
CURRENT NEUROPHARMACOLOGY,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,,
CURRENT NEUROVASCULAR RESEARCH,JOURNAL OF CHEMICAL INFORMATION AND MODELING,,
CURRENT NUTRITION REPORTS,JOURNAL OF CHEMICAL NEUROANATOMY,,
CURRENT OBESITY REPORTS,JOURNAL OF CHEMICAL PHYSICS,,
CURRENT ONCOLOGY,JOURNAL OF CHEMICAL RESEARCH,,
CURRENT ONCOLOGY REPORTS,JOURNAL OF CHEMICAL SCIENCES,,
CURRENT OPINION IN ALLERGY AND CLINICAL IMMUNOLOGY,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,,
CURRENT OPINION IN ANESTHESIOLOGY,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,,
CURRENT OPINION IN BEHAVIORAL SCIENCES,JOURNAL OF CHEMICAL THERMODYNAMICS,,
CURRENT OPINION IN BIOMEDICAL ENGINEERING,JOURNAL OF CHEMINFORMATICS,,
CURRENT OPINION IN BIOTECHNOLOGY,JOURNAL OF CHEMISTRY,,
CURRENT OPINION IN CARDIOLOGY,JOURNAL OF CHEMOMETRICS,,
CURRENT OPINION IN CELL BIOLOGY,JOURNAL OF CHEMOTHERAPY,,
CURRENT OPINION IN CHEMICAL BIOLOGY,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,,
CURRENT OPINION IN CHEMICAL ENGINEERING,JOURNAL OF CHILD HEALTH CARE,,
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,JOURNAL OF CHILD NEUROLOGY,,
CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,,
CURRENT OPINION IN CRITICAL CARE,JOURNAL OF CHILDRENS ORTHOPAEDICS,,
CURRENT OPINION IN ELECTROCHEMISTRY,JOURNAL OF CHROMATOGRAPHIC SCIENCE,,
CURRENT OPINION IN ENDOCRINOLOGY DIABETES AND OBESITY,JOURNAL OF CHROMATOGRAPHY A,,
CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,,
CURRENT OPINION IN FOOD SCIENCE,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,,
CURRENT OPINION IN GASTROENTEROLOGY,JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT,,
CURRENT OPINION IN GENETICS & DEVELOPMENT,JOURNAL OF CIVIL ENGINEERING EDUCATION,,
CURRENT OPINION IN GREEN AND SUSTAINABLE CHEMISTRY,JOURNAL OF CIVIL STRUCTURAL HEALTH MONITORING,,
CURRENT OPINION IN HEMATOLOGY,JOURNAL OF CLASSIFICATION,,
CURRENT OPINION IN HIV AND AIDS,JOURNAL OF CLEANER PRODUCTION,,
CURRENT OPINION IN IMMUNOLOGY,JOURNAL OF CLIMATE,,
CURRENT OPINION IN INFECTIOUS DISEASES,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,,
CURRENT OPINION IN INSECT SCIENCE,JOURNAL OF CLINICAL AND TRANSLATIONAL HEPATOLOGY,,
CURRENT OPINION IN LIPIDOLOGY,JOURNAL OF CLINICAL ANESTHESIA,,
CURRENT OPINION IN MICROBIOLOGY,JOURNAL OF CLINICAL APHERESIS,,
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,,
CURRENT OPINION IN NEUROBIOLOGY,JOURNAL OF CLINICAL DENSITOMETRY,,
CURRENT OPINION IN NEUROLOGY,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,,
CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,JOURNAL OF CLINICAL EPIDEMIOLOGY,,
CURRENT OPINION IN ONCOLOGY,JOURNAL OF CLINICAL GASTROENTEROLOGY,,
CURRENT OPINION IN OPHTHALMOLOGY,JOURNAL OF CLINICAL HYPERTENSION,,
CURRENT OPINION IN ORGAN TRANSPLANTATION,JOURNAL OF CLINICAL IMMUNOLOGY,,
CURRENT OPINION IN OTOLARYNGOLOGY & HEAD AND NECK SURGERY,JOURNAL OF CLINICAL INVESTIGATION,,
CURRENT OPINION IN PEDIATRICS,JOURNAL OF CLINICAL LABORATORY ANALYSIS,,
CURRENT OPINION IN PHARMACOLOGY,JOURNAL OF CLINICAL LIPIDOLOGY,,
CURRENT OPINION IN PLANT BIOLOGY,JOURNAL OF CLINICAL MEDICINE,,
CURRENT OPINION IN PSYCHIATRY,JOURNAL OF CLINICAL MICROBIOLOGY,,
CURRENT OPINION IN PULMONARY MEDICINE,JOURNAL OF CLINICAL MONITORING AND COMPUTING,,
CURRENT OPINION IN RHEUMATOLOGY,JOURNAL OF CLINICAL NEUROLOGY,,
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,JOURNAL OF CLINICAL NEUROPHYSIOLOGY,,
CURRENT OPINION IN STRUCTURAL BIOLOGY,JOURNAL OF CLINICAL NEUROSCIENCE,,
CURRENT OPINION IN SUPPORTIVE AND PALLIATIVE CARE,JOURNAL OF CLINICAL NURSING,,
CURRENT OPINION IN UROLOGY,JOURNAL OF CLINICAL ONCOLOGY,,
CURRENT OPINION IN VIROLOGY,JOURNAL OF CLINICAL PATHOLOGY,,
CURRENT OPTICS AND PHOTONICS,JOURNAL OF CLINICAL PEDIATRIC DENTISTRY,,
CURRENT ORGANIC CHEMISTRY,JOURNAL OF CLINICAL PERIODONTOLOGY,,
CURRENT ORGANIC SYNTHESIS,JOURNAL OF CLINICAL PHARMACOLOGY,,
CURRENT OSTEOPOROSIS REPORTS,JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS,,
CURRENT PAIN AND HEADACHE REPORTS,JOURNAL OF CLINICAL PSYCHIATRY,,
CURRENT PHARMACEUTICAL ANALYSIS,JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,,
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,JOURNAL OF CLINICAL RESEARCH IN PEDIATRIC ENDOCRINOLOGY,,
CURRENT PHARMACEUTICAL DESIGN,JOURNAL OF CLINICAL SLEEP MEDICINE,,
CURRENT POLLUTION REPORTS,JOURNAL OF CLINICAL ULTRASOUND,,
CURRENT PROBLEMS IN CANCER,JOURNAL OF CLINICAL VIROLOGY,,
CURRENT PROBLEMS IN CARDIOLOGY,JOURNAL OF CLOUD COMPUTING-ADVANCES SYSTEMS AND APPLICATIONS,,
CURRENT PROBLEMS IN PEDIATRIC AND ADOLESCENT HEALTH CARE,JOURNAL OF CLUSTER SCIENCE,,
CURRENT PROBLEMS IN SURGERY,JOURNAL OF CO2 UTILIZATION,,
CURRENT PROTEIN & PEPTIDE SCIENCE,JOURNAL OF COASTAL CONSERVATION,,
CURRENT PROTEOMICS,JOURNAL OF COATINGS TECHNOLOGY AND RESEARCH,,
CURRENT PSYCHIATRY REPORTS,JOURNAL OF COGNITIVE NEUROSCIENCE,,
CURRENT RADIOPHARMACEUTICALS,JOURNAL OF COLD REGIONS ENGINEERING,,
CURRENT RESEARCH IN FOOD SCIENCE,JOURNAL OF COLLOID AND INTERFACE SCIENCE,,
CURRENT RESEARCH IN TRANSLATIONAL MEDICINE,JOURNAL OF COMBINATORIAL ALGEBRA,,
CURRENT REVIEWS IN MUSCULOSKELETAL MEDICINE,JOURNAL OF COMBINATORIAL DESIGNS,,
CURRENT RHEUMATOLOGY REPORTS,JOURNAL OF COMBINATORIAL OPTIMIZATION,,
CURRENT SCIENCE,JOURNAL OF COMBINATORIAL THEORY SERIES A,,
CURRENT SPORTS MEDICINE REPORTS,JOURNAL OF COMBINATORIAL THEORY SERIES B,,
CURRENT STEM CELL RESEARCH & THERAPY,JOURNAL OF COMMUNICATION DISORDERS,,
CURRENT TOPICS IN MEDICINAL CHEMISTRY,JOURNAL OF COMMUNICATIONS AND NETWORKS,,
CURRENT TOPICS IN NUTRACEUTICAL RESEARCH,JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,,
CURRENT TREATMENT OPTIONS IN NEUROLOGY,JOURNAL OF COMMUNITY HEALTH NURSING,,
CURRENT TREATMENT OPTIONS IN ONCOLOGY,JOURNAL OF COMMUTATIVE ALGEBRA,,
CURRENT UROLOGY REPORTS,JOURNAL OF COMPARATIVE EFFECTIVENESS RESEARCH,,
CURRENT VASCULAR PHARMACOLOGY,JOURNAL OF COMPARATIVE NEUROLOGY,,
CURRENT ZOOLOGY,JOURNAL OF COMPARATIVE PATHOLOGY,,
CUSTOS E AGRONEGOCIO ON LINE,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,,
CUTANEOUS AND OCULAR TOXICOLOGY,JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,,
CUTIS,JOURNAL OF COMPARATIVE PSYCHOLOGY,,
CYBERNETICS AND SYSTEMS,JOURNAL OF COMPLEXITY,,
CYBIUM,JOURNAL OF COMPLEX NETWORKS,,
CYTA-JOURNAL OF FOOD,JOURNAL OF COMPOSITE MATERIALS,,
CYTOGENETIC AND GENOME RESEARCH,JOURNAL OF COMPOSITES FOR CONSTRUCTION,,
CYTOJOURNAL,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,,
CYTOKINE,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,,
CYTOKINE & GROWTH FACTOR REVIEWS,JOURNAL OF COMPUTATIONAL AND NONLINEAR DYNAMICS,,
CYTOLOGIA,JOURNAL OF COMPUTATIONAL AND THEORETICAL TRANSPORT,,
CYTOLOGY AND GENETICS,JOURNAL OF COMPUTATIONAL BIOLOGY,,
CYTOMETRY PART A,JOURNAL OF COMPUTATIONAL BIOPHYSICS AND CHEMISTRY,,
CYTOMETRY PART B-CLINICAL CYTOMETRY,JOURNAL OF COMPUTATIONAL CHEMISTRY,,
CYTOPATHOLOGY,JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING,,
CYTOSKELETON,JOURNAL OF COMPUTATIONAL ELECTRONICS,,
CYTOTECHNOLOGY,JOURNAL OF COMPUTATIONAL MATHEMATICS,,
CYTOTHERAPY,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,,
CZECH JOURNAL OF ANIMAL SCIENCE,JOURNAL OF COMPUTATIONAL PHYSICS,,
CZECH JOURNAL OF FOOD SCIENCES,JOURNAL OF COMPUTATIONAL SCIENCE,,
CZECH JOURNAL OF GENETICS AND PLANT BREEDING,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,,
CZECHOSLOVAK MATHEMATICAL JOURNAL,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,,
DALTON TRANSACTIONS,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,,
DANISH MEDICAL JOURNAL,JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,,
DARU-JOURNAL OF PHARMACEUTICAL SCIENCES,JOURNAL OF COMPUTER INFORMATION SYSTEMS,,
DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,JOURNAL OF COMPUTER LANGUAGES,,
DATA & KNOWLEDGE ENGINEERING,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,,
DATA MINING AND KNOWLEDGE DISCOVERY,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,,
DATA TECHNOLOGIES AND APPLICATIONS,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,
DECISION SUPPORT SYSTEMS,JOURNAL OF CONCHOLOGY,,
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,,
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,,
DEFENCE SCIENCE JOURNAL,JOURNAL OF CONSUMER PROTECTION AND FOOD SAFETY,,
DEFENCE TECHNOLOGY,JOURNAL OF CONTAMINANT HYDROLOGY,,
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,JOURNAL OF CONTEMPORARY BRACHYTHERAPY,,
DEMONSTRATIO MATHEMATICA,JOURNAL OF CONTEMPORARY MATHEMATICAL ANALYSIS-ARMENIAN ACADEMY OF SCIENCES,,
DENDROBIOLOGY,JOURNAL OF CONTEMPORARY PHYSICS-ARMENIAN ACADEMY OF SCIENCES,,
DENDROCHRONOLOGIA,JOURNAL OF CONTINUING EDUCATION IN NURSING,,
DENTAL MATERIALS,JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,,
DENTAL MATERIALS JOURNAL,JOURNAL OF CONTROLLED RELEASE,,
DENTAL TRAUMATOLOGY,JOURNAL OF CONVEX ANALYSIS,,
DENTOMAXILLOFACIAL RADIOLOGY,JOURNAL OF COORDINATION CHEMISTRY,,
DEPOSITIONAL RECORD,JOURNAL OF COSMETIC AND LASER THERAPY,,
DEPRESSION AND ANXIETY,JOURNAL OF COSMETIC DERMATOLOGY,,
DERMATITIS,JOURNAL OF COSMETIC SCIENCE,,
DERMATOLOGICA SINICA,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,,
DERMATOLOGIC CLINICS,JOURNAL OF CRANIOFACIAL SURGERY,,
DERMATOLOGIC SURGERY,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,,
DERMATOLOGIC THERAPY,JOURNAL OF CRITICAL CARE,,
DERMATOLOGIE,JOURNAL OF CROHNS & COLITIS,,
DERMATOLOGY,JOURNAL OF CRUSTACEAN BIOLOGY,,
DERMATOLOGY AND THERAPY,JOURNAL OF CRYPTOGRAPHIC ENGINEERING,,
DERMATOLOGY PRACTICAL & CONCEPTUAL,JOURNAL OF CRYPTOLOGY,,
DESALINATION,JOURNAL OF CRYSTAL GROWTH,,
DESALINATION AND WATER TREATMENT,JOURNAL OF CULTURAL HERITAGE,,
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,,
DESIGNED MONOMERS AND POLYMERS,JOURNAL OF CUTANEOUS PATHOLOGY,,
DESIGNS CODES AND CRYPTOGRAPHY,JOURNAL OF CYSTIC FIBROSIS,,
DESIGN STUDIES,JOURNAL OF CYTOLOGY,,
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,JOURNAL OF DAIRY RESEARCH,,
DEUTSCHE LEBENSMITTEL-RUNDSCHAU,JOURNAL OF DAIRY SCIENCE,,
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,JOURNAL OF DATABASE MANAGEMENT,,
DEUTSCHES ARZTEBLATT INTERNATIONAL,JOURNAL OF DENTAL EDUCATION,,
DEVELOPING WORLD BIOETHICS,JOURNAL OF DENTAL RESEARCH,,
DEVELOPMENT,JOURNAL OF DENTAL SCIENCES,,
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,JOURNAL OF DENTISTRY,,
DEVELOPMENTAL BIOLOGY,JOURNAL OF DERMATOLOGICAL SCIENCE,,
DEVELOPMENTAL CELL,JOURNAL OF DERMATOLOGICAL TREATMENT,,
DEVELOPMENTAL COGNITIVE NEUROSCIENCE,JOURNAL OF DERMATOLOGY,,
DEVELOPMENTAL DYNAMICS,JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,,
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE,,
DEVELOPMENTAL NEUROBIOLOGY,JOURNAL OF DIABETES,,
DEVELOPMENTAL NEUROPSYCHOLOGY,JOURNAL OF DIABETES AND ITS COMPLICATIONS,,
DEVELOPMENTAL NEUROREHABILITATION,JOURNAL OF DIABETES INVESTIGATION,,
DEVELOPMENTAL NEUROSCIENCE,JOURNAL OF DIABETES RESEARCH,,
DEVELOPMENTAL PSYCHOBIOLOGY,JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,,
DEVELOPMENT GENES AND EVOLUTION,JOURNAL OF DIFFERENTIAL EQUATIONS,,
DEVELOPMENT GROWTH & DIFFERENTIATION,JOURNAL OF DIFFERENTIAL GEOMETRY,,
DEVELOPMENTS IN THE BUILT ENVIRONMENT,JOURNAL OF DIGESTIVE DISEASES,,
DIABETES,JOURNAL OF DIGITAL IMAGING,,
DIABETES CARE,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,,
DIABETES METABOLIC SYNDROME AND OBESITY,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,,
DIABETES & METABOLISM,JOURNAL OF DRUGS IN DERMATOLOGY,,
DIABETES & METABOLISM JOURNAL,JOURNAL OF DRUG TARGETING,,
DIABETES-METABOLISM RESEARCH AND REVIEWS,JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,,
DIABETES OBESITY & METABOLISM,JOURNAL OF DYNAMICS AND DIFFERENTIAL EQUATIONS,,
DIABETES RESEARCH AND CLINICAL PRACTICE,JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,,
DIABETES STOFFWECHSEL UND HERZ,JOURNAL OF EARTHQUAKE AND TSUNAMI,,
DIABETES TECHNOLOGY & THERAPEUTICS,JOURNAL OF EARTHQUAKE ENGINEERING,,
DIABETES THERAPY,JOURNAL OF EARTH SCIENCE,,
DIABETES & VASCULAR DISEASE RESEARCH,JOURNAL OF EARTH SYSTEM SCIENCE,,
DIABETIC MEDICINE,JOURNAL OF EATING DISORDERS,,
DIABETOLOGIA,JOURNAL OF ECOLOGY,,
DIABETOLOGIE,JOURNAL OF ECONOMETRICS,,
DIABETOLOGIE UND STOFFWECHSEL,JOURNAL OF ECONOMIC ENTOMOLOGY,,
DIABETOLOGY & METABOLIC SYNDROME,JOURNAL OF ECT,,
DIAGNOSTIC AND INTERVENTIONAL IMAGING,JOURNAL OF ELASTICITY,,
DIAGNOSTIC AND INTERVENTIONAL RADIOLOGY,JOURNAL OF ELASTOMERS AND PLASTICS,,
DIAGNOSTIC CYTOPATHOLOGY,JOURNAL OF ELECTRICAL ENGINEERING-ELEKTROTECHNICKY CASOPIS,,
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,JOURNAL OF ELECTRICAL ENGINEERING & TECHNOLOGY,,
DIAGNOSTIC PATHOLOGY,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,,
DIAGNOSTICS,JOURNAL OF ELECTROCARDIOLOGY,,
DIALOGUES IN CLINICAL NEUROSCIENCE,JOURNAL OF ELECTROCERAMICS,,
DIAMOND AND RELATED MATERIALS,JOURNAL OF ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE,,
DIATOM RESEARCH,JOURNAL OF ELECTROCHEMICAL SCIENCE AND TECHNOLOGY,,
DIFFERENTIAL AND INTEGRAL EQUATIONS,JOURNAL OF ELECTROMAGNETIC ENGINEERING AND SCIENCE,,
DIFFERENTIAL EQUATIONS,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,,
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,,
DIFFERENTIATION,JOURNAL OF ELECTRONIC IMAGING,,
DIGESTION,JOURNAL OF ELECTRONIC MATERIALS,,
DIGESTIVE AND LIVER DISEASE,JOURNAL OF ELECTRONIC PACKAGING,,
DIGESTIVE DISEASES,JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,,
DIGESTIVE DISEASES AND SCIENCES,JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,,
DIGESTIVE ENDOSCOPY,JOURNAL OF ELECTROSTATICS,,
DIGESTIVE SURGERY,JOURNAL OF ELEMENTOLOGY,,
DIGEST JOURNAL OF NANOMATERIALS AND BIOSTRUCTURES,JOURNAL OF EMERGENCY MEDICINE,,
DIGITAL COMMUNICATIONS AND NETWORKS,JOURNAL OF EMERGENCY NURSING,,
DIGITAL HEALTH,JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS,,
DIGITAL SIGNAL PROCESSING,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,,
DISABILITY AND HEALTH JOURNAL,JOURNAL OF ENDOCRINOLOGY,,
DISABILITY AND REHABILITATION,JOURNAL OF ENDODONTICS,,
DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS,JOURNAL OF ENDOUROLOGY,,
DISCOVER NANO,JOURNAL OF ENDOVASCULAR THERAPY,,
DISCOVER ONCOLOGY,JOURNAL OF ENERGETIC MATERIALS,,
DISCOVERY MEDICINE,JOURNAL OF ENERGY CHEMISTRY,,
DISCRETE ANALYSIS,JOURNAL OF ENERGY ENGINEERING,,
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,JOURNAL OF ENERGY IN SOUTHERN AFRICA,,
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,,
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES S,JOURNAL OF ENERGY STORAGE,,
DISCRETE APPLIED MATHEMATICS,JOURNAL OF ENGINEERED FIBERS AND FABRICS,,
DISCRETE & COMPUTATIONAL GEOMETRY,JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,,
DISCRETE DYNAMICS IN NATURE AND SOCIETY,JOURNAL OF ENGINEERING DESIGN,,
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,JOURNAL OF ENGINEERING EDUCATION,,
DISCRETE MATHEMATICS,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,,
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,,
DISCRETE OPTIMIZATION,JOURNAL OF ENGINEERING MATHEMATICS,,
DISCUSSIONES MATHEMATICAE GRAPH THEORY,JOURNAL OF ENGINEERING MECHANICS,,
DISEASE MODELS & MECHANISMS,JOURNAL OF ENGINEERING RESEARCH,,
DISEASES OF AQUATIC ORGANISMS,JOURNAL OF ENGINEERING TECHNOLOGY,,
DISEASES OF THE COLON & RECTUM,JOURNAL OF ENGINEERING THERMOPHYSICS,,
DISEASES OF THE ESOPHAGUS,JOURNAL OF ENHANCED HEAT TRANSFER,,
DISPLAYS,JOURNAL OF ENTOMOLOGICAL SCIENCE,,
DISSERTATIONES MATHEMATICAE,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,,
DISSOLUTION TECHNOLOGIES,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,,
DISTRIBUTED AND PARALLEL DATABASES,JOURNAL OF ENVIRONMENTAL ENGINEERING,,
DISTRIBUTED COMPUTING,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT,,
DIVERSITY AND DISTRIBUTIONS,JOURNAL OF ENVIRONMENTAL HEALTH,,
DIVERSITY-BASEL,JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING,,
DIVING AND HYPERBARIC MEDICINE,JOURNAL OF ENVIRONMENTAL INFORMATICS,,
DM DISEASE-A-MONTH,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,
DNA AND CELL BIOLOGY,JOURNAL OF ENVIRONMENTAL PATHOLOGY TOXICOLOGY AND ONCOLOGY,,
DNA REPAIR,JOURNAL OF ENVIRONMENTAL QUALITY,,
DNA RESEARCH,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,,
DOCUMENTA MATHEMATICA,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,,
DOCUMENTA OPHTHALMOLOGICA,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,,
DOKLADY BIOCHEMISTRY AND BIOPHYSICS,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-TOXICOLOGY AND CARCINOGENESIS,,
DOKLADY CHEMISTRY,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,,
DOKLADY EARTH SCIENCES,JOURNAL OF ENVIRONMENTAL SCIENCES,,
DOKLADY MATHEMATICS,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,,
DOKLADY PHYSICAL CHEMISTRY,JOURNAL OF EPIDEMIOLOGY,,
DOKLADY PHYSICS,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,,
DOMESTIC ANIMAL ENDOCRINOLOGY,JOURNAL OF EPIDEMIOLOGY AND GLOBAL HEALTH,,
DOSE-RESPONSE,JOURNAL OF EQUINE VETERINARY SCIENCE,,
DREWNO,JOURNAL OF ESSENTIAL OIL BEARING PLANTS,,
DRONES,JOURNAL OF ESSENTIAL OIL RESEARCH,,
DRUG AND ALCOHOL DEPENDENCE,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,,
DRUG AND CHEMICAL TOXICOLOGY,JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,,
DRUG DELIVERY,JOURNAL OF ETHNOBIOLOGY,,
DRUG DELIVERY AND TRANSLATIONAL RESEARCH,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,,
DRUG DESIGN DEVELOPMENT AND THERAPY,JOURNAL OF ETHNOPHARMACOLOGY,,
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,JOURNAL OF ETHOLOGY,,
DRUG DEVELOPMENT RESEARCH,JOURNAL OF EUKARYOTIC MICROBIOLOGY,,
DRUG DISCOVERY TODAY,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,,
